Program Acronym,Program Full Name,User Facility Acronym,User Facility Full Name,User Facility Host Institution Acronym,User Facility Host Institution Name,Project/Experiment Title,Project/Experiment Type,Home Institution Name,Home Institution City,Home Institution State/Province/Territory,Home Institution Country,Industry?,Home Institution Type
HEP,High Energy Physics,FACET-II,Facility for Advanced Accelerator Experimental Tests II,SLAC,SLAC National Accelerator Laboratory,E-339 - PetaVolts per meter plasmonics using engineered materials,Non-Proprietary,Powerbeam Inc.,Mountain View,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Ground-Based Observations for Validation (GBOV),Non-Proprietary,ACRI-ST,Sophia-Antipolis,Provence-Alpes-Côte d'Azur,France,Yes,Non-U.S. For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Annual low-cost radio-meteorological sensing,Non-Proprietary,Arable Labs,Princeton,NJ,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Measurement and ClearSky model in situ calibration,Non-Proprietary,Arable Labs,Princeton,NJ,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Contrails research,Non-Proprietary,Boeing Company,Chicago,IL,United States,Yes,For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,High Altitude Infrared Image Collection,Non-Proprietary,Toyota Research Institute of North America (TRINA),Palo Alto,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Fluxes of AerosoL Continuous Observing Network,Non-Proprietary,Handix Scientific LLC,Boulder,CO,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Analysis of Cloud Top Inversion Based on Long-term Radiosonde Meteorological Data,Non-Proprietary,"Shanghai Kupus Technology Co., Ltd.",Shanghai,Shanghai,China,Yes,Non-U.S. For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Ground-Based Observations for Validation (GBOV) of Copernicus Global Land Products,Non-Proprietary,ACRI-ST,Sophia-Antipolis,Provence-Alpes-Côte d'Azur,France,Yes,Non-U.S. For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Fast Water And Temperature Balloon Flights in Fall,Non-Proprietary,Nikira Labs Inc.,Mountain View,CA,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Arable CalVal,Non-Proprietary,Arable Labs,Princeton,NJ,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Surface energy balance closure studies in the Upper Colorado River Basin to support boundary layer theory and land-atmosphere interactions research in complex terrain,Non-Proprietary,"Atmospheric and Environmental Research, Inc.",Lexington,MA,United States,Yes,For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,SkyFlow,Proprietary,Solstice AI,,VIC,Australia,Yes,Non-U.S. Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Improving iSnobal for operational resource management,Proprietary,M3Works,Boise,ID,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,TWST Instrument Development,Non-Proprietary,"Aerodyne Research, Inc.",Billerica,MA,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Fast Water And Temperature Balloon Flights in Fall,Non-Proprietary,Nikira Labs Inc.,Mountain View,CA,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Weather influence on shallow soil gas CO2,Non-Proprietary,Trihydro Corporation,Laramie,WY,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Global precipitation estimation,Non-Proprietary,Google Inc.,Mountain View,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Clouds and the Earths Radiant Energy System (CERES) Science Team,Non-Proprietary,Adnet Systems,Bethesda,MD,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Greenland Climatology - Flyability of Drones,Non-Proprietary,Menapia,Leeds,,United Kingdom,Yes,Non-U.S. Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,High Altitude Infrared Image Collection,Non-Proprietary,"Toyota Motor Engineering & Manufacturing North America, Inc.",Ann Arbor,MI,United States,Yes,For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Fundamentals of low-cost aerosol sensor design and operation,Non-Proprietary,Chevron Energy Technology Company,San Ramon,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Coast-Urban-Rural Atmospheric Gradient Experiment (COURAGE) NOx Deployment,Non-Proprietary,"Aerodyne Research, Inc.",Billerica,MA,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Freshspace,Proprietary,ACRI-ST,Sophia-Antipolis,Provence-Alpes-Côte d'Azur,France,Yes,Non-U.S. For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,WestcoastHyperspectralMicrowaveSensorIntensiveExp,Non-Proprietary,"GreenSight, Inc.",Oshkosh,WI,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,GHI estimation using geostationary satellite data,Non-Proprietary,Reuniwatt,Saint-Denis,,France,Yes,Non-U.S. For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,ARM Satellite Data Support,Non-Proprietary,Adnet Systems,Bethesda,MD,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Establishing a Holistic Understanding of the Circulations of Mesoscale Convective System Stratiform Regions,Non-Proprietary,"Atmospheric and Environmental Research, Inc.",Lexington,MA,United States,Yes,For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,BIOaerosol Profiling with Open Path sensors,Non-Proprietary,"Mesa Photonics, LLC",Santa Fe,NM,United States,Yes,Small Business
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Diagnostics for the Dynamics of Low-level Jets in GFDL AM4,Non-Proprietary,"Atmospheric and Environmental Research, Inc.",Lexington,MA,United States,Yes,For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Radio Link for Alaska Earthquake Center,Non-Proprietary,Ukpeagvik Iñupiat Corporation,Barrow,AK,United States,Yes,For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,SGP GNSS Ground Station,Non-Proprietary,Ukpeagvik Iñupiat Corporation,Barrow,AK,United States,Yes,For-Profit Organization (Other than Small Business)
BER,Biological and Environmental Research,ARM,Atmospheric Radiation Measurement user facility,Global Network,Global Network,Comparison with satellite observation data,Non-Proprietary,"Space Engineering Development Co., Ltd.",Tokyo,Tokyo,Japan,Yes,Non-U.S. For-Profit Organization (Other than Small Business)
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,"Nanoscale, dynamic imaging of the local potential evolution at MoS2/LiPON interface during Li insertion",Non-Proprietary,Sandia Corporation,Livermore,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Investigation of FeCl3 intercalation doping of multilayer graphene for CMOS interconnect applications,Non-Proprietary,Destination 2D Inc.,San Jose,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Effects of Radiation Damage on Solid Lubricants for Space Applications,Non-Proprietary,Sandia Corporation,Livermore,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Cross-sectional STM of semiconductor-superconductor devices,Non-Proprietary,Microsoft Corporation,Redmond,WA,United States,Yes,For-Profit Organization (Other than Small Business)
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,2D-TMD thin film evaluation by FETs and Hall bar fabrication and testing,Non-Proprietary,Nitto Denko Technical Corporation,Oceanside,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Computational Design of Non-Diethyl Hexyl Phthalate (DEHP) PVC Bags for Blood Storage,Non-Proprietary,Xheme Inc,Dayton,OH,United States,Yes,Small Business
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Effects of Radiation Damage on Solid Lubricants for Space Applications,Non-Proprietary,Sandia Corporation,Livermore,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Room Temperature Glass Casting ,Non-Proprietary,T3DP Corp.,Lake Elsinore,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Elucidation of Interfacial Chemistry Changes During Long-Term Molten Carbonate Electrolysis for Production of Carbon Nanomaterials,Non-Proprietary,SkyNano Technologies,Nashville,TN,United States,Yes,Small Business
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,"Corrosion Inhibition of Metal Alloys in Molten Carbonates for Sustainable, Low-Cost Multiwall Carbon Nanotube Growth",Non-Proprietary,SkyNano Technologies,Nashville,TN,United States,Yes,Small Business
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Elucidation of Interfacial Chemistry Changes During Long-Term Molten Carbonate Electrolysis for Production of Carbon Nanomaterials,Non-Proprietary,SkyNano Technologies,Nashville,TN,United States,Yes,Small Business
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,"Corrosion Inhibition of Metal Alloys in Molten Carbonates for Sustainable, Low-Cost Multiwall Carbon Nanotube Growth",Non-Proprietary,SkyNano Technologies,Nashville,TN,United States,Yes,Small Business
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Nanofabricated Devices for Protein Bioelectronics,Non-Proprietary,"Recognition AnalytiX, Inc.",Monterey,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Development of high-throughput gas phase field effect ionization device - v2,Non-Proprietary,Orbital Arc,Houston,TX,United States,Yes,Small Business
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Vibrational EELS Applications to Biological Substrates: Skin and Hair ,Non-Proprietary,Proctor & Gamble Company,Cincinnati,OH,United States,Yes,For-Profit Organization (Other than Small Business)
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Simulation and FTIR Microscopic Analysis of Polymeric Photonic Fibers,Non-Proprietary,Fibarcode,Knoxville,TN,United States,Yes,For-Profit Organization (Other than Small Business)
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Investigation of FeCl3 intercalation doping of multilayer graphene for CMOS interconnect applications,Non-Proprietary,Destination 2D Inc.,San Jose,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Characterization of Charge Trap Layer Structures in Non-Volatile Flash Memory Devices Using Monochromated EELS and 4D STEM Techniques,Non-Proprietary,NanoSpective,Orlando,FL,United States,Yes,Small Business
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,2D-TMD thin film evaluation by FETs and Hall bar fabrication and testing,Non-Proprietary,Nitto Denko Technical Corporation,Oceanside,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Thermionic electron emission adjustment by hexagonal boron nitride and graphene overlayers,Non-Proprietary,"Applied Physics Technologies, Inc.",McMinnville,OR,United States,Yes,Small Business
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Probing Morphology of Starch Nanocomposite Films,Non-Proprietary,Intertape Polymer Group,Sarasota,FL,United States,Yes,For-Profit Organization (Other than Small Business)
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Investigating Heterogeneous Ca-/Mg-carbonate Nucleation Using QCM-D,Non-Proprietary,LabConnect,Johnson City,TN,United States,Yes,Small Business
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,"Corrosion Inhibition of Metal Alloys in Molten Carbonates for Sustainable, Low-Cost Multiwall Carbon Nanotube Growth",Non-Proprietary,SkyNano Technologies,Nashville,TN,United States,Yes,Small Business
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Carbon Dioxide Reduction Electrocatalyst Design: Combining High-Throughput Screening and Machine Learning for Enhanced Performance ,Non-Proprietary,Invance Prep Consulting,Belle Mead,NJ,United States,Yes,For-Profit Organization (Other than Small Business)
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Characterization of Charge Trap Layer Structures in Non-Volatile Flash Memory Devices Using Monochromated EELS and 4D STEM Techniques,Non-Proprietary,NanoSpective,Orlando,FL,United States,Yes,Small Business
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Nanoscale Morphology Characterization and Phase Identification of Interfacial Phases of Metal-Carbon Composites ,Non-Proprietary,Ce-Ri-SS Materials LLC,Knoxville,TN,United States,Yes,Small Business
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Determining a Scaling Factor between Neutron and Ion Beam Damage Rate in Monolayer MoS2 ,Non-Proprietary,Sandia Corporation,Livermore,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Probing Morphology of Starch Nanocomposite Films,Non-Proprietary,Intertape Polymer Group,Sarasota,FL,United States,Yes,For-Profit Organization (Other than Small Business)
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Thermionic electron emission adjustment by hexagonal boron nitride and graphene overlayers,Non-Proprietary,"Applied Physics Technologies, Inc.",McMinnville,OR,United States,Yes,Small Business
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Nanofabricated Devices for Protein Bioelectronics,Non-Proprietary,"Recognition AnalytiX, Inc.",Monterey,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,"Nanoscale, dynamic imaging of the local potential evolution at MoS2/LiPON interface during Li insertion",Non-Proprietary,Sandia Corporation,Livermore,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Thermionic electron emission adjustment by hexagonal boron nitride and graphene overlayers,Non-Proprietary,"Applied Physics Technologies, Inc.",McMinnville,OR,United States,Yes,Small Business
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Nanofabricated Devices for Protein Bioelectronics,Non-Proprietary,"Recognition AnalytiX, Inc.",Monterey,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Investigation of FeCl3 intercalation doping of multilayer graphene for CMOS interconnect applications,Non-Proprietary,Destination 2D Inc.,San Jose,CA,United States,Yes,For-Profit Organization (Other than Small Business)
BES,Basic Energy Sciences,CNMS,Center for Nanophase Materials Sciences,ORNL,Oak Ridge National Laboratory,Characterization of Charge Trap Layer Structures in Non-Volatile Flash Memory Devices Using Monochromated EELS and 4D STEM Techniques,Non-Proprietary,"IPValue Management, Inc.",Santa Clara,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,A Fusion Machine Learning Data Science Platform to Support the Design and Safe Operation of a Fusion Pilot Plant,Non-Proprietary,Hewlett-Packard Company,Spring,TX,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,A Fusion Machine Learning Data Science Platform to Support the Design and Safe Operation of a Fusion Pilot Plant,Non-Proprietary,Sapientai,Austin,TX,United States,Yes,Small Business
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,A Fusion Machine Learning Data Science Platform to Support the Design and Safe Operation of a Fusion Pilot Plant,Non-Proprietary,Sapientai,Austin,TX,United States,Yes,Small Business
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,A Fusion Machine Learning Data Science Platform to Support the Design and Safe Operation of a Fusion Pilot Plant,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,A Fusion Machine Learning Data Science Platform to Support the Design and Safe Operation of a Fusion Pilot Plant,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,A Fusion Machine Learning Data Science Platform to Support the Design and Safe Operation of a Fusion Pilot Plant,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,A Fusion Machine Learning Data Science Platform to Support the Design and Safe Operation of a Fusion Pilot Plant,Non-Proprietary,Hewlett-Packard Company,Spring,TX,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,A Fusion Machine Learning Data Science Platform to Support the Design and Safe Operation of a Fusion Pilot Plant,Non-Proprietary,Sapientai,Austin,TX,United States,Yes,Small Business
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Access conditions and performance optimization of I-mode with strong shaping enabled by SVR,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Access conditions and performance optimization of I-mode with strong shaping enabled by SVR,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Advanced Computing in Support of the DIII-D Mission,Non-Proprietary,Nvidia Corporation,Santa Clara,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Advanced Computing in Support of the DIII-D Mission,Non-Proprietary,Nvidia Corporation,Santa Clara,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Advanced Computing in Support of the DIII-D Mission,Non-Proprietary,Nvidia Corporation,Santa Clara,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Advanced Computing in Support of the DIII-D Mission,Non-Proprietary,Nvidia Corporation,Santa Clara,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Advanced Computing in Support of the DIII-D Mission,Non-Proprietary,Nvidia Corporation,Santa Clara,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Advanced density control in DIII-D for ITER and FPP,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,"Advanced, model-based density control in DIII-D for burning plasmas",Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,"Advanced, model-based density control in DIII-D for burning plasmas",Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,"Advanced, model-based density control in DIII-D for burning plasmas",Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,"Advanced, model-based density control in DIII-D for burning plasmas",Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,AE-induced zonal flows,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,AE-induced zonal flows,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Alpha power simulation and burn control in high gain inductive scenarios to ramp down,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Alpha power simulation and burn control in high gain inductive scenarios to ramp down,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Alpha power simulation and burn control in high gain inductive scenarios to ramp down,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Alpha power simulation and burn control in high gain inductive scenarios to ramp down,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Alpha power simulation and burn control in high gain inductive scenarios to ramp down,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,An Alternate Method for Island Rotation Control: Swing Push Entrainment with 3d Fields,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Analysis of Existing Research Data,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Analysis of Existing Research Data,Non-Proprietary,Next Step Fusion,Luxembourg,Luxembourg,Luxembourg,Yes,Non-U.S. For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Analysis of Existing Research Data,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Analysis of Existing Research Data,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Analysis of Existing Research Data,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Analysis of Existing Research Data,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Analysis of Existing Research Data,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Analysis of Existing Research Data,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Analysis of Existing Research Data,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Analysis of Existing Research Data,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Analysis of Existing Research Data,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Analysis of Existing Research Data,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Analysis of Existing Research Data,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Analysis of Existing Research Data,Non-Proprietary,"Cascade Technologies, Inc.",Palo Alto,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Analysis of Existing Research Data,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Analysis of Existing Research Data,Non-Proprietary,Nvidia Corporation,Santa Clara,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Analysis of Existing Research Data,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
FES,Fusion Energy Sciences,DIII-D,DIII-D,GA,General Atomics,Analysis of Existing Research Data,Non-Proprietary,General Atomics,San Diego,CA,United States,Yes,For-Profit Organization (Other than Small Business)
